transaction_id,timestamp,amount,merchant,mcc,device_type,latitude,longitude,merchant_risk_level,device_risk_level,hour,day_of_week,month,is_weekend,is_business_hours,anomaly_type,risk_score,is_fraud
TXN00039017,2025-10-12 14:19:00,8.13,McDonalds,5814,ios-16.1,34.21912414632177,-67.11780760416363,low,low,14,6,10,1,1,normal,24.7,0
TXN00006211,2025-02-15 10:30:00,3.88,McDonalds,5814,android-13,31.292610805588318,-93.6108609893922,low,medium,10,5,2,1,1,normal,31.3,0
TXN00039009,2025-10-12 13:56:00,15.92,OnlineGaming,7990,android-12,42.839815822771556,-119.22636683661062,high,medium,13,6,10,1,1,normal,45.93,0
TXN00031523,2025-08-18 15:36:00,190.82,Electronics,5732,android-12,32.87670256372028,-114.77584373567598,medium,medium,15,0,8,0,1,normal,40.75,0
TXN00009375,2025-03-09 16:59:00,1223.62,JewelryStore,5944,android-13,28.28060695535013,-73.65039425581138,high,medium,16,6,3,1,1,normal,79.31,1
TXN00042282,2025-11-04 17:13:00,82.59,Walmart,5411,ios-16.1,28.185840772239956,-90.20165248218947,low,low,17,1,11,0,1,normal,19.49,0
TXN00048282,2025-12-19 11:35:00,125.49,Shell,5541,android-12,40.057977967147124,-90.98435909168137,medium,medium,11,4,12,0,1,normal,36.24,0
TXN00043035,2025-11-10 15:07:00,273.01,JewelryStore,5944,ios-16.1,41.82724772167842,-90.69397749810409,high,low,15,0,11,0,1,normal,46.41,0
TXN00048716,2025-12-22 13:23:00,2146.72,JewelryStore,5944,web-safari,26.283641154357895,-120.2952836235165,high,medium,13,0,12,0,1,normal,68.97,0
TXN00035865,2025-09-19 18:33:00,60.8,GasStation,5541,mobile-web,41.771069873982704,-106.00413760526551,medium,high,18,4,9,0,0,normal,52.47,0
TXN00006019,2025-02-13 18:52:00,52.32,GasStation,5541,android-13,46.52663129006754,-115.40041160379577,medium,medium,18,3,2,0,0,normal,44.99,0
TXN00011446,2025-03-24 15:21:00,75.58,GasStation,5541,ios-16.1,36.07318835800395,-115.48184171758827,medium,low,15,0,3,0,1,normal,25.9,0
TXN00022611,2025-06-14 18:08:00,13.57,Target,5411,android-12,32.732003021271325,-75.87949583031656,low,medium,18,5,6,1,0,normal,45.76,0
TXN00013644,2025-04-09 13:31:00,2795.88,JewelryStore,5944,web-chrome,26.673868915546507,-102.88500523618403,high,high,13,2,4,0,1,normal,75.86,1
TXN00026888,2025-07-15 18:55:00,54.89,GasStation,5541,ios-16.1,31.80660505722052,-114.57290884454802,medium,low,18,1,7,0,0,normal,38.27,0
TXN00011269,2025-03-23 11:51:00,48.45,McDonalds,5814,web-safari,35.05010422934246,-94.5803525645622,low,medium,11,6,3,1,1,normal,34.38,0
TXN00042725,2025-11-08 11:23:00,69.07,Amazon,5999,web-chrome,43.65497561805135,-83.71740976425552,low,high,11,5,11,1,1,normal,42.69,0
TXN00042625,2025-11-07 14:17:00,6.74,McDonalds,5814,android-12,29.072132453968827,-104.93901368396331,low,medium,14,4,11,0,1,normal,21.15,0
TXN00048060,2025-12-17 13:09:00,25.69,OnlineGaming,7990,mobile-web,35.65079901422084,-86.27207289349187,high,high,13,2,12,0,1,normal,43.15,0
TXN00003550,2025-01-26 16:27:00,9.58,Starbucks,5814,android-12,34.666782218292255,-115.18984347483254,low,medium,16,6,1,1,1,normal,31.7,0
TXN00032934,2025-08-29 04:32:00,11.23,McDonalds,5814,android-12,42.62110941741258,-84.08174944457335,low,medium,4,4,8,0,0,normal,35.26,0
TXN00014528,2025-04-16 11:11:00,16.02,GasStation,5541,web-safari,26.042780663331246,-99.65311360338112,medium,medium,11,2,4,0,1,normal,28.69,0
TXN00046228,2025-12-03 16:24:00,64.45,GroceryStore,5411,ios-15.2,34.52618545755394,-84.10838905893604,low,low,16,2,12,0,1,normal,18.24,0
TXN00037082,2025-09-28 16:08:00,223.7,LuxuryHotel,7011,ios-15.2,34.69221078973109,-100.13664090610199,high,low,16,6,9,1,1,normal,53.36,0
TXN00023821,2025-06-23 15:24:00,431.28,LuxuryHotel,7011,web-safari,30.192847303179988,-111.61470070446043,high,medium,15,0,6,0,1,normal,64.23,0
TXN00006448,2025-02-16 18:04:00,10.46,McDonalds,5814,web-chrome,42.737488634512445,-82.61678958710941,low,high,18,6,2,1,0,normal,52.45,0
TXN00041274,2025-10-28 14:31:00,22.23,Shell,5541,mobile-web,27.013292917032643,-68.832401336735,medium,high,14,1,10,0,1,normal,36.02,0
TXN00010830,2025-03-20 09:33:00,1914.79,JewelryStore,5944,ios-16.1,43.832174455154316,-70.9970338235396,high,low,9,3,3,0,1,normal,62.07,0
TXN00015900,2025-04-26 09:05:00,17.31,Walmart,5411,android-12,47.87411019658395,-107.12424850723218,low,medium,9,5,4,1,1,normal,32.23,0
TXN00043334,2025-11-12 14:10:00,312.69,Casino,7990,mobile-web,45.27475385363641,-106.23733413244102,high,high,14,2,11,0,1,normal,62.94,0
TXN00004053,2025-01-30 11:47:00,32.6,Exxon,5541,web-safari,41.42154323872955,-105.11286241010859,medium,medium,11,3,1,0,1,normal,29.83,0
TXN00001091,2025-01-08 20:51:00,28.96,Shell,5541,web-chrome,33.73797386295273,-105.40755712910452,medium,high,20,2,1,0,0,normal,50.27,0
TXN00014421,2025-04-15 13:03:00,120.93,BestBuy,5732,ios-15.2,37.27308972726071,-70.10775476019515,medium,low,13,1,4,0,1,normal,29.03,0
TXN00024428,2025-06-28 11:17:00,26.06,GasStation,5541,mobile-web,30.506981819047468,-97.68190551522443,medium,high,11,5,6,1,1,normal,46.62,0
TXN00011169,2025-03-22 15:31:00,167.67,Electronics,5732,web-chrome,38.642462853365785,-87.2109042025804,medium,high,15,5,3,1,1,normal,56.39,0
TXN00049714,2025-12-29 23:41:00,13.6,Target,5411,android-13,38.424611271344226,-76.90499637878959,low,medium,23,0,12,0,0,normal,35.42,0
TXN00027777,2025-07-22 13:45:00,235.79,Amazon,5999,web-chrome,48.945611355205926,-98.31096899737366,low,high,13,1,7,0,1,normal,43.85,0
TXN00043572,2025-11-14 13:46:00,667.2,Casino,7990,android-13,40.55327584651853,-76.87772841914234,high,medium,13,4,11,0,1,normal,68.97,0
TXN00011544,2025-03-25 11:46:00,15.97,Target,5411,web-safari,25.539324708664928,-99.84273942768289,low,medium,11,1,3,0,1,normal,21.79,0
TXN00012200,2025-03-29 23:25:00,38.9,Shell,5541,mobile-web,38.724837526792854,-122.61669922073496,medium,high,23,5,3,1,0,normal,61.3,0
TXN00043529,2025-11-14 08:57:00,36.48,Exxon,5541,android-12,47.21682903496408,-96.70240900469786,medium,medium,8,4,11,0,0,normal,43.9,0
TXN00043094,2025-11-10 22:35:00,69.93,Amazon,5999,web-safari,43.79996404766127,-77.10787763885527,low,medium,22,0,11,0,0,normal,39.31,0
TXN00019404,2025-05-22 14:32:00,305.28,Electronics,5732,mobile-web,29.99228994186209,-108.74206664192593,medium,high,14,3,5,0,1,normal,55.54,0
TXN00047300,2025-12-11 14:33:00,92.31,GroceryStore,5411,web-chrome,44.99467334426728,-97.5570869312931,low,high,14,3,12,0,1,normal,33.95,0
TXN00023673,2025-06-22 14:21:00,33.43,McDonalds,5814,ios-15.2,40.97118133204518,-94.3778369295971,low,low,14,6,6,1,1,normal,26.44,0
TXN00049089,2025-12-25 09:30:00,59.78,BestBuy,5732,mobile-web,29.455848371069187,-116.52683882882128,medium,high,9,3,12,0,1,normal,38.61,0
TXN00048040,2025-12-17 11:35:00,386.01,LuxuryHotel,7011,web-safari,42.624813776690175,-93.19083035472093,high,medium,11,2,12,0,1,normal,61.1,0
TXN00031164,2025-08-16 09:45:00,233.27,Amazon,5999,android-12,43.44042844867241,-71.53761666197784,low,medium,9,5,8,1,1,normal,47.12,0
TXN00031701,2025-08-19 17:57:00,1061.87,Casino,7990,mobile-web,36.74043373335421,-108.9934534452872,high,high,17,1,8,0,1,normal,75.86,1
TXN00016375,2025-04-29 17:30:00,105.51,GasStation,5541,mobile-web,42.66527981920208,-109.63096717593552,medium,high,17,1,4,0,1,normal,41.76,0
TXN00029421,2025-08-03 13:54:00,3.03,Target,5411,web-chrome,38.81273241771853,-75.4723542335297,low,high,13,6,8,1,1,normal,38.14,0
TXN00041151,2025-10-27 17:03:00,424.05,Casino,7990,ios-16.1,46.72029746983384,-113.93782754953763,high,low,17,0,10,0,1,normal,56.83,0
TXN00032871,2025-08-28 15:27:00,10.59,GasStation,5541,web-chrome,26.15079309559257,-107.17610946590543,medium,high,15,3,8,0,1,normal,35.21,0
TXN00032135,2025-08-23 11:17:00,26.59,GroceryStore,5411,ios-15.2,35.856524561379885,-101.81820095798508,low,low,11,5,8,1,1,normal,25.97,0
TXN00017335,2025-05-07 14:29:00,44.78,Walmart,5411,web-safari,33.886124704566214,-112.45067251663062,low,medium,14,2,5,0,1,normal,23.78,0
TXN00023077,2025-06-18 08:00:00,63.53,GasStation,5541,ios-16.1,34.098445568635576,-120.73649808935079,medium,low,8,2,6,0,0,normal,38.86,0
TXN00044810,2025-11-23 11:22:00,65.73,Target,5411,web-safari,34.58791662019698,-106.00472210530823,low,medium,11,6,11,1,1,normal,35.57,0
TXN00045994,2025-12-02 09:45:00,37.26,Amazon,5999,android-12,39.59301461971972,-72.54322591175749,low,medium,9,1,12,0,1,normal,23.26,0
TXN00016121,2025-04-27 17:54:00,11.97,McDonalds,5814,android-12,42.22780206566973,-120.34164340053778,low,medium,17,6,4,1,1,normal,31.86,0
TXN00032534,2025-08-26 07:43:00,21.93,Exxon,5541,ios-15.2,26.611384930864684,-90.88365534601685,medium,low,7,1,8,0,0,normal,36.0,0
TXN00028724,2025-07-29 11:02:00,57.95,Electronics,5732,web-safari,39.22651255561908,-121.464553202338,medium,medium,11,1,7,0,1,normal,31.58,0
TXN00010214,2025-03-15 18:40:00,77.81,OnlineGaming,7990,mobile-web,44.155289816218385,-76.11723017229863,high,high,18,5,3,1,0,normal,70.88,1
TXN00023858,2025-06-23 19:12:00,21.16,Target,5411,ios-15.2,43.48791837793157,-90.6640545740208,low,low,19,0,6,0,0,normal,29.05,0
TXN00028111,2025-07-24 19:30:00,1001.5,JewelryStore,5944,ios-15.2,25.930351662086565,-116.20256171778573,high,low,19,3,7,0,0,normal,75.86,1
TXN00016756,2025-05-02 17:55:00,8.55,McDonalds,5814,mobile-web,43.154853037895236,-109.15070140757818,low,high,17,4,5,0,1,normal,28.18,0
TXN00024552,2025-06-29 09:53:00,15.48,GasStation,5541,ios-15.2,34.75546459490227,-122.04236546176998,medium,low,9,6,6,1,1,normal,32.1,0
TXN00022311,2025-06-12 16:45:00,12.77,Starbucks,5814,ios-15.2,30.74871665234443,-117.9664512210536,low,low,16,3,6,0,1,normal,14.67,0
TXN00031044,2025-08-15 12:31:00,58.56,Exxon,5541,web-safari,35.84115726891476,-97.93898661094883,medium,medium,12,4,8,0,1,normal,31.62,0
TXN00040688,2025-10-24 13:40:00,78.56,Target,5411,mobile-web,42.20258815017857,-77.32855035723423,low,high,13,4,10,0,1,normal,33.0,0
TXN00035081,2025-09-14 12:21:00,3254.66,Casino,7990,web-chrome,44.74963590039666,-120.2101490384339,high,high,12,6,9,1,1,normal,86.21,1
TXN00009161,2025-03-08 11:26:00,92.1,Amazon,5999,android-13,37.20812530121494,-90.77888239316232,low,medium,11,5,3,1,1,normal,37.39,0
TXN00010340,2025-03-16 17:14:00,19.76,McDonalds,5814,ios-16.1,42.592834425840024,-122.96857215356556,low,low,17,6,3,1,1,normal,25.5,0
TXN00040694,2025-10-24 14:18:00,1208.86,JewelryStore,5944,web-chrome,39.73834148129771,-106.5782650475313,high,high,14,4,10,0,1,normal,75.86,1
TXN00033647,2025-09-03 12:01:00,11.98,Starbucks,5814,android-12,41.57023413133443,-92.50550643281048,low,medium,12,2,9,0,1,normal,21.52,0
TXN00046856,2025-12-08 12:36:00,212.98,Electronics,5732,web-chrome,27.751947370460748,-116.6038630882113,medium,high,12,0,12,0,1,normal,49.17,0
TXN00030699,2025-08-12 17:19:00,33.33,GasStation,5541,web-chrome,30.80476946111542,-89.05300910768361,medium,high,17,1,8,0,1,normal,36.78,0
TXN00030337,2025-08-10 11:28:00,90.38,Shell,5541,android-13,44.937472742550256,-117.64757512297138,medium,medium,11,6,8,1,1,normal,44.16,0
TXN00049563,2025-12-28 18:17:00,38.0,GroceryStore,5411,android-13,29.232313451661437,-76.24763232702337,low,medium,18,6,12,1,0,normal,47.45,0
TXN00040460,2025-10-22 18:58:00,1135.63,JewelryStore,5944,web-chrome,40.412049153630306,-76.03702843257417,high,high,18,2,10,0,0,normal,89.66,1
TXN00029251,2025-08-02 11:57:00,112.54,OnlineGaming,7990,web-chrome,26.759524637096376,-110.5680766353856,high,high,11,5,8,1,1,normal,59.49,0
TXN00034285,2025-09-08 09:20:00,101.72,Exxon,5541,web-safari,39.886384551115356,-68.25826242009984,medium,medium,9,0,9,0,1,normal,34.6,0
TXN00025315,2025-07-04 14:43:00,63.05,Target,5411,web-safari,46.956095556898305,-113.12303389920031,low,medium,14,4,7,0,1,normal,25.04,0
TXN00045452,2025-11-28 09:49:00,648.34,Electronics,5732,android-13,47.81792397768638,-107.92384875764812,medium,medium,9,4,11,0,1,normal,62.07,0
TXN00005256,2025-02-08 12:02:00,93.55,OnlineGaming,7990,android-12,31.029804452370158,-85.57865498662855,high,medium,12,5,2,1,1,normal,51.28,0
TXN00029141,2025-08-01 14:41:00,52.72,Target,5411,web-chrome,42.47898645023589,-85.81840896746745,low,high,14,4,8,0,1,normal,31.22,0
TXN00021707,2025-06-08 14:23:00,26.03,McDonalds,5814,android-13,48.517000394252804,-112.92447044837563,low,medium,14,6,6,1,1,normal,32.83,0
TXN00008810,2025-03-05 15:38:00,32.1,Shell,5541,web-chrome,42.727698399482186,-101.46936765519914,medium,high,15,2,3,0,1,normal,36.7,0
TXN00034660,2025-09-11 13:04:00,45.31,Starbucks,5814,ios-15.2,43.36897334851432,-78.69359499765166,low,low,13,3,9,0,1,normal,16.92,0
TXN00003615,2025-01-27 09:59:00,1618.76,JewelryStore,5944,ios-15.2,35.997008258223914,-116.57905004734249,high,low,9,0,1,0,1,normal,62.07,0
TXN00007898,2025-02-27 10:02:00,1346.1,JewelryStore,5944,ios-16.1,69.96713514020428,-172.15354799602198,high,low,10,3,2,0,1,geographic,62.07,1
TXN00029878,2025-08-06 16:58:00,11.93,McDonalds,5814,android-12,47.33875612617146,-91.10029722615252,low,medium,16,2,8,0,1,normal,21.51,0
TXN00023435,2025-06-20 17:06:00,98.53,Amazon,5999,web-safari,42.17981577016059,-82.98370340253149,low,medium,17,4,6,0,1,normal,27.48,0
TXN00040997,2025-10-26 17:15:00,3.38,Starbucks,5814,ios-15.2,43.00547017064297,-85.67622010006406,low,low,17,6,10,1,1,normal,24.37,0
TXN00045260,2025-11-26 15:39:00,356.92,Casino,7990,android-13,28.025078133559493,-77.24452365065184,high,medium,15,2,11,0,1,normal,59.1,0
TXN00043210,2025-11-11 17:43:00,61.04,Shell,5541,ios-15.2,44.4118427017064,-71.19994741314032,medium,low,17,1,11,0,1,normal,24.9,0
TXN00019284,2025-05-21 16:42:00,147.59,Shell,5541,ios-16.1,40.724411414527246,-72.42911196402878,medium,low,16,2,5,0,1,normal,30.87,0
TXN00014976,2025-04-19 12:46:00,31.88,GroceryStore,5411,android-13,27.946195180439148,-112.5996831806392,low,medium,12,5,4,1,1,normal,33.23,0
TXN00021875,2025-06-09 17:04:00,167.6,GasStation,5541,ios-16.1,28.10173736111757,-94.81058801918286,medium,low,17,0,6,0,1,normal,32.25,0
TXN00026394,2025-07-12 12:34:00,5.31,McDonalds,5814,ios-15.2,38.94715436601235,-100.30518431199043,low,low,12,5,7,1,1,normal,24.5,0
TXN00037948,2025-10-05 00:52:00,22.33,McDonalds,5814,web-chrome,39.83114340735708,-106.88998394682837,low,high,0,6,10,1,0,normal,53.26,0
TXN00007761,2025-02-26 10:15:00,84.58,Shell,5541,mobile-web,25.66494320303192,-103.93884177149495,medium,high,10,2,2,0,1,normal,40.32,0
TXN00015627,2025-04-24 09:00:00,1171.11,Casino,7990,ios-16.1,29.602799061689662,-79.4577365607129,high,low,9,3,4,0,1,normal,62.07,0
TXN00030029,2025-08-07 20:22:00,12.29,Starbucks,5814,android-13,33.671083690644544,-116.5646636074778,low,medium,20,3,8,0,0,normal,35.33,0
TXN00027491,2025-07-20 13:57:00,14.45,Starbucks,5814,android-12,34.5645562675928,-84.01756616238274,low,medium,13,6,7,1,1,normal,32.03,0
TXN00021814,2025-06-09 12:34:00,152.12,LuxuryHotel,7011,ios-16.1,47.06496771222004,-73.68238452573631,high,low,12,0,6,0,1,normal,38.08,0
TXN00002224,2025-01-17 07:23:00,113.11,Amazon,5999,web-chrome,33.186691893159875,-81.73421274543605,low,high,7,4,1,0,0,normal,49.18,0
TXN00000543,2025-01-05 08:08:00,329.24,JewelryStore,5944,web-safari,46.72010102683316,-77.08506156804069,high,medium,8,6,1,1,0,normal,81.33,1
TXN00005092,2025-02-07 06:14:00,7.18,McDonalds,5814,ios-16.1,42.118695001826055,-108.32427712824655,low,low,6,4,2,0,0,normal,28.08,0
TXN00003624,2025-01-27 11:11:00,34.93,Exxon,5541,web-safari,26.61081234164711,-123.38064620124896,medium,medium,11,0,1,0,1,normal,30.0,0
TXN00025163,2025-07-03 13:16:00,10.2,McDonalds,5814,android-13,30.563673707900172,-97.8758629410012,low,medium,13,3,7,0,1,normal,21.39,0
TXN00003023,2025-01-22 19:37:00,311.02,Electronics,5732,android-13,39.02620394433787,-90.98053477281468,medium,medium,19,2,1,0,0,normal,62.83,0
TXN00008897,2025-03-06 11:44:00,10.04,McDonalds,5814,mobile-web,33.57780636526136,-107.57085313929845,low,high,11,3,3,0,1,normal,28.28,0
TXN00006080,2025-02-14 12:00:00,22.4,Target,5411,android-12,46.16925023039545,-111.09791926788377,low,medium,12,4,2,0,1,normal,22.23,0
TXN00034140,2025-09-07 06:57:00,15.34,Starbucks,5814,ios-16.1,48.66488853380537,-107.99934917706048,low,low,6,6,9,1,0,normal,38.99,0
TXN00014857,2025-04-18 13:30:00,2662.75,Casino,7990,ios-16.1,29.0635211462089,-72.86175150124083,high,low,13,4,4,0,1,normal,62.07,0
TXN00043306,2025-11-12 12:30:00,24.88,Starbucks,5814,ios-15.2,44.14912988864516,-80.72378020572256,low,low,12,2,11,0,1,normal,15.51,0
TXN00049663,2025-12-29 16:01:00,9.98,Amazon,5999,ios-15.2,37.08674587132352,-104.21308339180939,low,low,16,0,12,0,1,normal,14.48,0
TXN00049196,2025-12-25 22:45:00,51.35,Target,5411,ios-15.2,34.77324502797111,-68.57025803326012,low,low,22,3,12,0,0,normal,31.13,0
TXN00040512,2025-10-23 11:41:00,150.62,GroceryStore,5411,android-13,34.75683715857535,-75.49363196391414,low,medium,11,3,10,0,1,normal,31.08,0
TXN00039654,2025-10-17 05:56:00,91.91,GasStation,5541,mobile-web,40.8786555254435,-113.1709355833733,medium,high,5,4,10,0,0,normal,54.61,0
TXN00015513,2025-04-23 11:51:00,1467.27,JewelryStore,5944,web-safari,42.10625540348215,-93.80028495572702,high,medium,11,2,4,0,1,normal,68.97,0
TXN00021307,2025-06-05 10:09:00,37.82,Starbucks,5814,android-13,25.94511916495714,-117.03674574535478,low,medium,10,3,6,0,1,normal,23.3,0
TXN00034559,2025-09-10 14:41:00,87.55,GasStation,5541,web-safari,42.8008689435399,-69.73851596323694,medium,medium,14,2,9,0,1,normal,33.62,0
TXN00041277,2025-10-28 14:38:00,493.26,Casino,7990,ios-16.1,31.299359176404863,-120.25801576103288,high,low,14,1,10,0,1,normal,61.6,0
TXN00038399,2025-10-08 11:16:00,367.85,Electronics,5732,android-12,25.680753352134438,-95.66365893061945,medium,medium,11,2,10,0,1,normal,52.96,0
TXN00014895,2025-04-18 16:09:00,55.54,OnlineGaming,7990,android-13,44.98887709294015,-115.82285779143801,high,medium,16,4,4,0,1,normal,38.31,0
TXN00022518,2025-06-14 09:26:00,974.26,JewelryStore,5944,ios-15.2,29.873135249063097,-122.5781426056174,high,low,9,5,6,1,1,normal,72.41,1
TXN00023375,2025-06-20 12:17:00,1499.41,Casino,7990,ios-16.1,34.12947027488033,-82.12433243607917,high,low,12,4,6,0,1,normal,62.07,0
TXN00020773,2025-06-01 12:00:00,10.47,McDonalds,5814,mobile-web,34.849713946684346,-79.9955315279669,low,high,12,6,6,1,1,normal,38.65,0
TXN00012734,2025-04-02 19:11:00,110.99,OnlineGaming,7990,web-safari,36.550689773462665,-96.81595621673006,high,medium,19,2,4,0,0,normal,55.93,0
TXN00036297,2025-09-22 22:25:00,8.44,Starbucks,5814,web-safari,42.55560355362424,-71.65181740754127,low,medium,22,0,9,0,0,normal,35.06,0
TXN00024639,2025-06-29 16:11:00,44.59,Target,5411,web-safari,28.991393324504827,-93.85438054788641,low,medium,16,6,6,1,1,normal,34.11,0
TXN00016779,2025-05-03 01:38:00,139.24,Amazon,5999,ios-16.1,36.95712370363067,-92.57402972022749,low,low,1,5,5,1,0,normal,47.53,0
TXN00047909,2025-12-16 11:16:00,129.1,Exxon,5541,android-12,40.360131433519435,-118.58116997518252,medium,medium,11,1,12,0,1,normal,36.49,0
TXN00010564,2025-03-18 11:56:00,429.66,Electronics,5732,mobile-web,32.469911359095875,-100.25952119317992,medium,high,11,1,3,0,1,normal,64.11,0
TXN00010160,2025-03-15 13:57:00,1394.33,Casino,7990,ios-15.2,26.525958063724563,-90.391922083895,high,low,13,5,3,1,1,normal,72.41,1
TXN00041924,2025-11-02 12:02:00,22.45,McDonalds,5814,mobile-web,32.50230615492342,-71.7819041058818,low,high,12,6,11,1,1,normal,39.48,0
TXN00007077,2025-02-21 12:53:00,3.64,McDonalds,5814,ios-15.2,35.44468155513972,-103.4172044945097,low,low,12,4,2,0,1,normal,14.04,0
TXN00013695,2025-04-09 17:47:00,476.93,Electronics,5732,mobile-web,39.59266257104224,-107.82650827548343,medium,high,17,2,4,0,1,normal,67.37,0
TXN00027705,2025-07-21 23:43:00,42.29,GasStation,5541,ios-16.1,36.27523126413651,-111.24374453054452,medium,low,23,0,7,0,0,normal,37.4,0
TXN00004772,2025-02-04 16:29:00,40.74,BestBuy,5732,web-chrome,47.80550197273337,-104.81412512037718,medium,high,16,1,2,0,1,normal,37.29,0
TXN00040243,2025-10-21 12:32:00,1197.9167512275367,GroceryStore,5411,web-safari,29.12678942848092,-100.00630748540631,low,medium,12,1,10,0,1,high_amount,55.17,1
TXN00031392,2025-08-17 15:52:00,2404.44,Casino,7990,android-13,40.26329302894937,-95.91691765738639,high,medium,15,6,8,1,1,normal,79.31,1
TXN00016982,2025-05-04 14:24:00,401.95,OnlineGaming,7990,ios-15.2,46.38128109400649,-92.89411783543747,high,low,14,6,5,1,1,normal,65.65,0
TXN00014811,2025-04-18 10:34:00,12.61,Walmart,5411,android-12,40.2511282854887,-81.08847505723622,low,medium,10,4,4,0,1,normal,21.56,0
TXN00049392,2025-12-27 14:06:00,14.48,GroceryStore,5411,ios-16.1,45.75491618115558,-73.69577125292982,low,low,14,5,12,1,1,normal,25.14,0
TXN00009369,2025-03-09 16:46:00,5.12,McDonalds,5814,android-12,37.08104054894175,-82.45507855565836,low,medium,16,6,3,1,1,normal,31.39,0
TXN00036773,2025-09-26 13:39:00,32.05,McDonalds,5814,ios-15.2,28.544199095948933,-98.73634869255606,low,low,13,4,9,0,1,normal,16.0,0
TXN00010079,2025-03-14 20:22:00,107.39,Shell,5541,web-safari,29.39890245396881,-87.50747885568111,medium,medium,20,4,3,0,0,normal,48.79,0
TXN00020253,2025-05-28 16:01:00,788.76,JewelryStore,5944,ios-15.2,32.60618037335404,-118.71572854751155,high,low,16,2,5,0,1,normal,62.07,0
TXN00025354,2025-07-04 17:53:00,305.36,Electronics,5732,android-13,38.52934927250252,-104.72200415165177,medium,medium,17,4,7,0,1,normal,48.65,0
TXN00037640,2025-10-02 17:20:00,1018.07,Casino,7990,web-chrome,47.386858180497995,-74.41677001086435,high,high,17,3,10,0,1,normal,75.86,1
TXN00001214,2025-01-09 18:02:00,310.78,JewelryStore,5944,web-chrome,32.93027271704996,-95.13730902779716,high,high,18,3,1,0,0,normal,76.61,1
TXN00004264,2025-01-31 17:08:00,18.61,McDonalds,5814,web-safari,40.234145724696084,-106.21062555697031,low,medium,17,4,1,0,1,normal,21.97,0
TXN00049515,2025-12-28 13:37:00,259.08,BestBuy,5732,mobile-web,39.94221535290781,-103.28519488491901,medium,high,13,6,12,1,1,normal,62.7,0
TXN00014087,2025-04-12 17:33:00,27.18,Target,5411,android-12,32.449420371202784,-120.29600115347496,low,medium,17,5,4,1,1,normal,32.91,0
TXN00000595,2025-01-05 13:40:00,14.05,Shell,5541,ios-16.1,31.41377737452113,-119.039358181201,medium,low,13,6,1,1,1,normal,32.0,0
TXN00042111,2025-11-03 15:02:00,41.77,GasStation,5541,web-chrome,25.16648760141021,-83.1458131525784,medium,high,15,0,11,0,1,normal,37.36,0
TXN00047742,2025-12-14 18:49:00,568.59,Casino,7990,android-12,30.610802662930688,-119.4999869452807,high,medium,18,6,12,1,0,normal,93.1,1
TXN00043328,2025-11-12 13:48:00,313.64,JewelryStore,5944,ios-15.2,46.120165469683215,-75.73739693153651,high,low,13,2,11,0,1,normal,49.22,0
TXN00027108,2025-07-17 14:51:00,649.98,Electronics,5732,web-safari,48.77037586226027,-78.34497699452763,medium,medium,14,3,7,0,1,normal,62.07,0
TXN00001525,2025-01-11 22:35:00,516.82,JewelryStore,5944,android-12,35.95715564293798,-112.12759545048738,high,medium,22,5,1,1,0,normal,93.1,1
